resp_uid,pair_id,kelompok,usia,lokasi,status_pernikahan,pendidikan_terakhir,anggota_keluarga_bekerja,pendapatan_numerik_B1,pendapatan_numerik_B2,pendapatan_numerik_B3,pendapatan_ordinal_B1,pendapatan_ordinal_B2,pendapatan_ordinal_B3,pendapatan_kategori_B1,pendapatan_kategori_B2,pendapatan_kategori_B3,jumlah_sumber_pendapatan_B1,jumlah_sumber_pendapatan_B2,jumlah_sumber_pendapatan_B3,punya_usaha_B1,punya_usaha_B2,punya_usaha_B3,pengeluaran_pokok_B1,pengeluaran_pokok_B2,pengeluaran_pokok_B3,belanja_makanan_B1,belanja_makanan_B2,belanja_makanan_B3,belanja_kesehatan_B1,belanja_kesehatan_B2,belanja_kesehatan_B3,belanja_pendidikan_B1,belanja_pendidikan_B2,belanja_pendidikan_B3,pscore
Intervensi_160,62,Intervensi,28,Dusun Melati,Menikah,>=Diploma/S1+,,,,3000000.0,1,1,3,"< Rp1,2 juta","< Rp1,2 juta","Rp2,5 - <4(,8) juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,2350000.0,,1950000.0,2000000.0,,1500000.0,0.0,,100000.0,0.0,,0.0,0.1939879958510303
Kontrol_38,62,Kontrol,66,,Duda/Janda,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.1900130235423356
Intervensi_57,63,Intervensi,69,Dusun Pringgan,Duda/Janda,SD,,,,363000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,500000.0,,500000.0,300000.0,,500000.0,0.0,,0.0,0.0,,0.0,0.5120937094374074
Kontrol_103,63,Kontrol,69,,Duda/Janda,SD,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.5120937094374074
Intervensi_177,64,Intervensi,60,Dusun Melati,Duda/Janda,>=Diploma/S1+,,,500000.0,2000000.0,1,1,2,"< Rp1,2 juta","< Rp1,2 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,1186000.0,,1160000.0,1000000.0,,1000000.0,0.0,,0.0,0.0,,0.0,0.0115832399156988
Kontrol_172,64,Kontrol,57,,Menikah,>=Diploma/S1+,0.0,,,,2,2,1,"Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.0107418314569957
Intervensi_173,65,Intervensi,48,Dusun Melati,Menikah,SMP,2.0,2400000.0,2400000.0,2400000.0,2,2,2,"Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Ya,Ya,Ya,2600000.0,,3500000.0,2000000.0,,3000000.0,0.0,,0.0,300000.0,,0.0,0.4257654603633876
Kontrol_32,65,Kontrol,49,,Menikah,SMP,0.0,,,,2,1,1,"Rp1,2 - <2,5 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.4058973053690913
Intervensi_74,66,Intervensi,55,Dusun Melati,Menikah,SMA,,300000.0,300000.0,1500000.0,1,1,2,"< Rp1,2 juta","< Rp1,2 juta","Rp1,2 - <2,5 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,2200000.0,,2800000.0,1500000.0,,1800000.0,0.0,,0.0,0.0,,0.0,0.1313291184635339
Kontrol_77,66,Kontrol,55,,Menikah,SMA,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.1313291184635339
Intervensi_71,67,Intervensi,72,Dusun Melati,Menikah,SD,,,,600000.0,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,2500000.0,,1800000.0,1800000.0,,1500000.0,400000.0,,160000.0,0.0,,0.0,0.5516975714506773
Kontrol_71,67,Kontrol,51,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.545293263295707
Intervensi_92,68,Intervensi,48,Dusun Melati,Menikah,SMA,,2000000.0,2000000.0,2600000.0,1,1,3,"< Rp1,2 juta","< Rp1,2 juta","Rp2,5 - <4(,8) juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,2565000.0,,4600000.0,500000.0,,1500000.0,0.0,,200000.0,1500000.0,,2000000.0,0.2113780601794619
Kontrol_53,68,Kontrol,65,,Duda/Janda,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.2029233000090158
Intervensi_179,69,Intervensi,57,Dusun Melati,Menikah,SMA,,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,Tidak,Tidak,Tidak,1150000.0,,1160000.0,1000000.0,,1000000.0,0.0,,0.0,0.0,,0.0,0.1137633870854748
Kontrol_19,69,Kontrol,78,,Menikah,SMP,0.0,,,,1,1,1,"< Rp1,2 juta","< Rp1,2 juta","< Rp1,2 juta",1 sumber,1 sumber,1 sumber,,,,,,,,,,,,,,,,0.1163968715183077
